,contain_data_similarity,dataset_edge_distance_method,contain_dataset_feature,embed_dataset_feature,dataset_embed_method,dataset_reference_model,contain_model_feature,embed_model_feature,model_embed_method,complete_model_features,model_dataset_edge_method,distance_thres,top_pos_K,top_neg_K,accu_pos_thres,accu_neg_thres,gnn_method,accuracy_thres,finetune_ratio,model_ratio,hidden_channels,num_model,num_dataset,test_dataset,train_time,loss,val_AUC,test_AUC,time_total,epochs
37,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,lr_node2vec_all_normalize_without_transfer_model_ratio_0.3,,1.0,0.3,128,,,cifar100,0.3914129734039306,3.136802315711975,,,1.3784050941467283,50.0
38,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,lr_node2vec_all_normalize_without_transfer_model_ratio_0.5,,1.0,0.5,128,,,cifar100,0.5941171646118164,3.4011552333831787,,,1.9612932205200195,50.0
39,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,lr_node2vec_all_normalize_without_transfer_model_ratio_0.7,,1.0,0.7,128,,,cifar100,0.8166022300720215,3.25017007191976,,,2.092823028564453,50.0
40,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,lr_node2vec_all_normalize_without_transfer_model_ratio_0.9,,1.0,0.9,128,,,cifar100,0.9559879302978516,3.008903563022613,,,2.3825762271881104,50.0
41,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,lr_node2vec_all_normalize_without_transfer_model_ratio_1.0,,1.0,1.0,128,,,cifar100,1.1032369136810305,2.914881527423858,,,2.827069997787476,50.0
42,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,lr_node2vec+_all_normalize_without_transfer_model_ratio_0.1,,1.0,0.1,128,,,cifar100,0.2409727573394775,3.158128499984741,,,3.31055212020874,50.0
43,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,lr_node2vec+_all_normalize_without_transfer_model_ratio_0.3,,1.0,0.3,128,,,cifar100,0.5692431926727295,3.187338829040528,,,3.719316005706787,50.0
44,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,lr_node2vec+_all_normalize_without_transfer_model_ratio_0.5,,1.0,0.5,128,,,cifar100,0.9765059947967528,3.38897713025411,,,4.347851037979126,50.0
45,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,lr_node2vec+_all_normalize_without_transfer_model_ratio_0.7,,1.0,0.7,128,,,cifar100,1.338305950164795,3.0089328289031982,,,4.677308082580566,50.0
46,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,lr_node2vec+_all_normalize_without_transfer_model_ratio_0.9,,1.0,0.9,128,,,cifar100,1.7706377506256104,2.880272924900055,,,5.268775939941406,50.0
47,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,lr_node2vec+_all_normalize_without_transfer_model_ratio_1.0,,1.0,1.0,128,,,cifar100,2.068871021270752,2.72128427028656,,,5.702507972717285,50.0
48,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_homoGATConv_all_normalize_without_transfer_model_ratio_0.1,,1.0,0.1,128,17.0,23.0,cifar100,2.034527540206909,0.5841,0.8178067523305618,0.7633333333333334,2.917057752609253,50.0
49,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_homoGATConv_all_normalize_without_transfer_model_ratio_0.3,,1.0,0.3,128,53.0,34.0,cifar100,6.600761890411377,0.5728,0.8007463835026162,0.8119982430491434,7.682597875595093,50.0
50,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_homoGATConv_all_normalize_without_transfer_model_ratio_0.5,,1.0,0.5,128,89.0,46.0,cifar100,13.554574251174929,0.5873,0.8414527777777777,0.8552821327119995,14.95883584022522,50.0
51,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_homoGATConv_all_normalize_without_transfer_model_ratio_0.7,,1.0,0.7,128,124.0,56.0,cifar100,21.796287059783936,0.6318,0.8234317397548011,0.8406562124914267,23.635277032852173,50.0
52,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_homoGATConv_all_normalize_without_transfer_model_ratio_0.9,,1.0,0.9,128,160.0,64.0,cifar100,30.0976357460022,0.5884,0.8821450521226296,0.8793674904745737,32.387356996536255,50.0
53,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_homoGATConv_all_normalize_without_transfer_model_ratio_1.0,,1.0,1.0,128,185.0,69.0,cifar100,36.36377000808716,0.5975,0.8718269413086948,0.8780085327682106,38.7251079082489,50.0
54,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_homo_SAGEConv_all_normalize_without_transfer_model_ratio_0.1,,1.0,0.1,128,17.0,23.0,cifar100,1.3682639598846436,0.5879,0.8159171075837742,0.7919338715878508,2.4892349243164062,50.0
55,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_homo_SAGEConv_all_normalize_without_transfer_model_ratio_0.3,,1.0,0.3,128,53.0,34.0,cifar100,4.773288011550903,0.6169,0.766338360521186,0.7558169607742553,5.862368106842041,50.0
56,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_homo_SAGEConv_all_normalize_without_transfer_model_ratio_0.5,,1.0,0.5,128,89.0,46.0,cifar100,10.756402969360352,0.6105,0.8127965277777778,0.8119654797613889,12.23292112350464,50.0
57,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_homo_SAGEConv_all_normalize_without_transfer_model_ratio_0.7,,1.0,0.7,128,124.0,56.0,cifar100,17.682255029678345,0.6028,0.8285379292052468,0.8326902454936128,19.73370385169983,50.0
58,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_homo_SAGEConv_all_normalize_without_transfer_model_ratio_0.9,,1.0,0.9,128,160.0,64.0,cifar100,24.59251093864441,0.5891,0.8097816775438862,0.8170545900451436,26.949172019958496,50.0
59,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_homo_SAGEConv_all_normalize_without_transfer_model_ratio_1.0,,1.0,1.0,128,185.0,69.0,cifar100,30.08396005630493,0.5975,0.8477425293791485,0.8438888993563414,32.477843046188354,50.0
60,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_node2vec_all_normalize_without_transfer_model_ratio_0.1,,1.0,0.1,128,,,cifar100,0.2444837093353271,3.658846139907837,,,1.5544090270996094,50.0
61,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_node2vec_all_normalize_without_transfer_model_ratio_0.3,,1.0,0.3,128,,,cifar100,0.4053719043731689,3.526898980140686,,,1.444931983947754,50.0
62,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_node2vec_all_normalize_without_transfer_model_ratio_0.5,,1.0,0.5,128,,,cifar100,0.5824460983276367,3.595875024795532,,,1.7847869396209717,50.0
63,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_node2vec_all_normalize_without_transfer_model_ratio_0.7,,1.0,0.7,128,,,cifar100,0.7545559406280518,3.241225004196167,,,2.1435530185699463,50.0
64,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_node2vec_all_normalize_without_transfer_model_ratio_0.9,,1.0,0.9,128,,,cifar100,0.9508368968963624,3.0827531218528748,,,2.562177896499634,50.0
65,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_node2vec_all_normalize_without_transfer_model_ratio_1.0,,1.0,1.0,128,,,cifar100,1.1265020370483398,3.0096707344055176,,,2.8355729579925537,50.0
66,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_node2vec+_all_normalize_without_transfer_model_ratio_0.1,,1.0,0.1,128,,,cifar100,0.2410249710083007,3.7549757957458496,,,3.324841022491455,50.0
67,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_node2vec+_all_normalize_without_transfer_model_ratio_0.3,,1.0,0.3,128,,,cifar100,0.6102311611175537,2.773622274398804,,,3.823564052581787,50.0
68,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_node2vec+_all_normalize_without_transfer_model_ratio_0.5,,1.0,0.5,128,,,cifar100,1.0211069583892822,3.373689810434977,,,4.4681360721588135,50.0
69,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_node2vec+_all_normalize_without_transfer_model_ratio_0.7,,1.0,0.7,128,,,cifar100,1.3390121459960938,2.8908307552337646,,,4.797879934310913,50.0
70,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_node2vec+_all_normalize_without_transfer_model_ratio_0.9,,1.0,0.9,128,,,cifar100,1.7739310264587402,2.7573376297950745,,,5.456808090209961,50.0
71,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,rf_node2vec+_all_normalize_without_transfer_model_ratio_1.0,,1.0,1.0,128,,,cifar100,2.1398138999938965,2.757921159267425,,,5.97768497467041,50.0
72,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homoGATConv_all_normalize_without_transfer_model_ratio_0.1,,1.0,0.1,128,18.0,24.0,caltech101,2.145555019378662,0.5542,0.8028257887517146,0.7795757356196915,3.1200859546661377,50.0
73,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homoGATConv_all_normalize_without_transfer_model_ratio_0.3,,1.0,0.3,128,54.0,34.0,caltech101,6.775006055831909,0.5752,0.8425288804872926,0.8224721697122453,8.046944618225098,50.0
74,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homoGATConv_all_normalize_without_transfer_model_ratio_0.5,,1.0,0.5,128,90.0,46.0,caltech101,13.597115755081177,0.585,0.8258952495587933,0.8590771693924312,15.287739992141724,50.0
75,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homoGATConv_all_normalize_without_transfer_model_ratio_0.7,,1.0,0.7,128,125.0,52.0,caltech101,19.79867792129517,0.5728,0.861706702804386,0.857007909767085,22.17534589767456,50.0
76,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homoGATConv_all_normalize_without_transfer_model_ratio_0.9,,1.0,0.9,128,162.0,65.0,caltech101,30.64640998840332,0.5887,0.8531538000652931,0.8602435292102276,33.33810997009277,50.0
77,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homoGATConv_all_normalize_without_transfer_model_ratio_1.0,,1.0,1.0,128,185.0,69.0,caltech101,35.34682607650757,0.5814,0.8442193344016117,0.8450851422586609,38.885586977005005,50.0
78,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homo_SAGEConv_all_normalize_without_transfer_model_ratio_0.1,,1.0,0.1,128,18.0,24.0,caltech101,1.4445929527282717,0.6025,0.7950891632373114,0.8110970226354841,2.6172611713409424,50.0
79,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homo_SAGEConv_all_normalize_without_transfer_model_ratio_0.3,,1.0,0.3,128,54.0,34.0,caltech101,5.049878835678101,0.6035,0.7998172652804033,0.7997616047048939,6.417328834533691,50.0
80,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homo_SAGEConv_all_normalize_without_transfer_model_ratio_0.5,,1.0,0.5,128,90.0,46.0,caltech101,10.403451919555664,0.6211,0.7676503679761173,0.7752237039270413,12.07451105117798,50.0
81,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homo_SAGEConv_all_normalize_without_transfer_model_ratio_0.7,,1.0,0.7,128,125.0,52.0,caltech101,15.603429794311523,0.5882,0.8263339706937947,0.826440229666345,18.32125496864319,50.0
82,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homo_SAGEConv_all_normalize_without_transfer_model_ratio_0.9,,1.0,0.9,128,162.0,65.0,caltech101,25.095598936080933,0.5857,0.8431920593909564,0.8448259368364113,28.342794179916385,50.0
83,,euclidean,True,,domain_similarity,google_vit_base_patch16_224,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homo_SAGEConv_all_normalize_without_transfer_model_ratio_1.0,,1.0,1.0,128,185.0,69.0,caltech101,29.275202989578247,0.623,0.6333499616293098,0.6276871072088448,32.30543613433838,50.0
