,model,target_dataset,model_name,dataset_name,task_type,metric,batch_size,dataset_path,runtime,score
124,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,rotten_tomatoes,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,23.539761304855347,-0.6704071261190427
125,Recognai/bert-base-spanish-wwm-cased-xnli,rotten_tomatoes,Recognai/bert-base-spanish-wwm-cased-xnli,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,12.439962148666382,-0.6709404917943578
126,bondi/bert-semaphore-prediction-w4,rotten_tomatoes,bondi/bert-semaphore-prediction-w4,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,12.411890745162964,-0.6724465609957204
127,viviastaari/finetuning-sentiment-analysis-en-id,rotten_tomatoes,viviastaari/finetuning-sentiment-analysis-en-id,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.42951226234436,-0.6744162609774189
128,JonatanGk/roberta-base-ca-finetuned-hate-speech-offensive-catalan,rotten_tomatoes,JonatanGk/roberta-base-ca-finetuned-hate-speech-offensive-catalan,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,13.269801139831545,-0.6810139799864747
129,milyiyo/selectra-small-finetuned-amazon-review,rotten_tomatoes,milyiyo/selectra-small-finetuned-amazon-review,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,6.358967781066895,-0.6825474341261503
130,mrm8488/electricidad-base-finetuned-pawsx-es,rotten_tomatoes,mrm8488/electricidad-base-finetuned-pawsx-es,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,12.701512098312378,-0.6865734225125288
131,isakbos/Q8BERT_COLA_L_512,rotten_tomatoes,isakbos/Q8BERT_COLA_L_512,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.870949268341064,-0.6884284271544254
132,dhimskyy/wiki-bert,rotten_tomatoes,dhimskyy/wiki-bert,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.220611810684204,-0.6884937962543167
133,matthewburke/korean_sentiment,rotten_tomatoes,matthewburke/korean_sentiment,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,13.626090288162231,-0.6892369153771525
134,CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,rotten_tomatoes,CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,15.323213815689089,-0.6908881423439907
135,kyleinincubated/autonlp-cat333-624217911,rotten_tomatoes,kyleinincubated/autonlp-cat333-624217911,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,13.762797594070436,-0.6917393540578276
136,elozano/tweet_offensive_eval,rotten_tomatoes,elozano/tweet_offensive_eval,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.954953670501709,-0.6953709558311361
137,fgaim/tiroberta-geezswitch,rotten_tomatoes,fgaim/tiroberta-geezswitch,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,31.030734300613403,-0.6964588307174822
138,CAMeL-Lab/bert-base-arabic-camelbert-mix-did-nadi,rotten_tomatoes,CAMeL-Lab/bert-base-arabic-camelbert-mix-did-nadi,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,15.26246690750122,-0.6966211069813837
139,chiragasarpota/scotus-bert,rotten_tomatoes,chiragasarpota/scotus-bert,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,3.420271635055542,-0.6976600417695507
140,w11wo/sundanese-bert-base-emotion-classifier,rotten_tomatoes,w11wo/sundanese-bert-base-emotion-classifier,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.063009977340698,-0.7034507610682961
141,IMSyPP/hate_speech_nl,rotten_tomatoes,IMSyPP/hate_speech_nl,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,13.272958755493164,-0.7085011216462263
142,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,rotten_tomatoes,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,14.165690183639526,-0.7158967708687749
143,JNK789/distilbert-base-uncased-finetuned-tweets-emoji-dataset,rotten_tomatoes,JNK789/distilbert-base-uncased-finetuned-tweets-emoji-dataset,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.887186288833618,-0.7263805253716746
144,Raychanan/COVID_RandomOver,rotten_tomatoes,Raychanan/COVID_RandomOver,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,13.63029646873474,-0.7263805295496426
145,YeRyeongLee/electra-base-discriminator-finetuned-filtered-0602,rotten_tomatoes,YeRyeongLee/electra-base-discriminator-finetuned-filtered-0602,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.609073877334595,-0.7270363632081036
146,philschmid/tiny-distilbert-classification,rotten_tomatoes,philschmid/tiny-distilbert-classification,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,2.85359001159668,-1.0045167718232024
