,model_name,dataset_path,dataset_name,task_type,batch_size,metric,model,target_dataset,runtime,score
1,firas-spanioli/beer-whisky-wine-detection,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,firas-spanioli/beer-whisky-wine-detection,pets,15.32749605178833,26.642180342445318
0,ferdinand/rare-puppers,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,ferdinand/rare-puppers,pets,15.679518938064575,0.7927793972127044
1,ferdinand/rare-puppers,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,ferdinand/rare-puppers,pets,15.936800241470337,25.878481737759138
0,firebolt/llama_or_what,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,firebolt/llama_or_what,pets,15.061059713363647,0.8149439569382197
1,firebolt/llama_or_what,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,firebolt/llama_or_what,pets,15.246843338012695,26.120597591410135
0,firebolt/llama_or_what2,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,firebolt/llama_or_what2,pets,28.04653000831604,0.7470854614865877
1,firebolt/llama_or_what2,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,firebolt/llama_or_what2,pets,27.914753675460815,24.76885071750732
0,google/vit-base-patch16-224,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,google/vit-base-patch16-224,pets,15.07103157043457,0.9202017665824416
1,google/vit-base-patch16-224,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,google/vit-base-patch16-224,pets,15.279076337814331,27.754519188974264
0,flyswot/test,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,flyswot/test,pets,15.17350959777832,0.5221463973397207
1,flyswot/test,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,flyswot/test,pets,15.178091526031494,12.03397359763581
0,godiec/diam,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,godiec/diam,pets,14.524107933044434,0.582601750193923
1,godiec/diam,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,godiec/diam,pets,14.738366603851318,20.721480037926835
0,gatecitypreservation/architectural_styles,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,gatecitypreservation/architectural_styles,pets,15.660674333572388,0.7475898013569444
1,gatecitypreservation/architectural_styles,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,gatecitypreservation/architectural_styles,pets,15.91698694229126,24.754809344784213
0,google/vit-base-patch16-384,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,google/vit-base-patch16-384,pets,30.12936234474182,0.9389259776596027
1,google/vit-base-patch16-384,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,google/vit-base-patch16-384,pets,30.312854766845703,28.04857438854099
0,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,pets,18.324645042419434,0.8733948906566534
1,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,pets,18.43890953063965,27.7432845095215
0,google/vit-base-patch32-384,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,google/vit-base-patch32-384,pets,19.031211376190186,0.8954435335961871
1,google/vit-base-patch32-384,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,google/vit-base-patch32-384,pets,19.318676710128784,27.28212872093092
0,google/vit-large-patch32-384,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,google/vit-large-patch32-384,pets,21.645801544189453,1.0064054132782125
1,google/vit-large-patch32-384,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,google/vit-large-patch32-384,pets,22.091394901275635,29.775504799319407
0,hafidber/rare-puppers,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,hafidber/rare-puppers,pets,15.070743083953857,0.8069960406101023
